gaze_ts,worldFrame,confidence,world_gazeX,world_gazeY,ref_gazeX,ref_gazeY,mapped,number_matches
1703060749089.814,80.0,1.0,306.51,216.106875,189.444,262.768,True,176.0
1703060749096.147,80.0,1.0,297.5835,220.314375,180.606,266.865,True,176.0
1703060749099.512,80.0,1.0,297.438,215.131125,180.613,262.342,True,176.0
1703060749105.486,80.0,1.0,297.510375,212.347875,180.764,259.907,True,176.0
1703060749111.745,80.0,1.0,299.477625,215.15699999999998,182.617,262.269,True,176.0
1703060749114.825,80.0,1.0,300.52537499999994,217.161,183.587,263.966,True,176.0
1703060749121.1619,80.0,1.0,304.96837500000004,217.269,187.917,263.848,True,176.0
1703060749124.219,80.0,1.0,308.11050000000006,218.339625,190.929,264.624,True,176.0
1703060749130.519,80.0,1.0,309.08775,217.91887499999999,191.883,264.213,True,176.0
1703060749137.058,80.0,1.0,297.51675,214.01549999999997,180.723,261.363,True,176.0
1703060749139.9849,80.0,1.0,300.70950000000005,215.12925,183.826,262.188,True,176.0
1703060749146.1692,80.0,1.0,304.41749999999996,218.083875,187.359,264.581,True,176.0
1703060749150.657,80.0,1.0,310.85475,219.33300000000003,193.543,265.349,True,176.0
1703060749155.493,80.0,1.0,305.638125,217.27874999999997,188.567,263.824,True,176.0
1703060749164.8298,80.0,1.0,302.74199999999996,220.581375,185.657,266.835,True,176.0
1703060749171.1182,80.0,1.0,308.0505,219.747375,190.832,265.845,True,176.0
1703060749174.2358,80.0,1.0,302.95724999999993,220.90275,185.858,267.103,True,176.0
1703060749180.718,80.0,1.0,302.38425,219.084,185.35,265.55,True,176.0
1703060749186.721,80.0,1.0,306.37275,215.28225,189.334,262.06,True,176.0
1703060749190.5269,80.0,1.0,300.20325,210.382125,183.465,258.077,True,176.0
1703060749196.158,80.0,1.0,303.1185,222.80700000000002,185.961,268.751,True,176.0
1703060749199.493,80.0,1.0,305.700375,224.358,188.429,269.962,True,176.0
1703060749205.803,80.0,1.0,299.640375,218.488125,182.682,265.167,True,176.0
1703060749211.729,80.0,1.0,300.75899999999996,215.81887500000002,183.854,262.786,True,176.0
1703060749214.854,80.0,1.0,299.38725,220.26487500000002,182.382,266.729,True,176.0
1703060749221.3362,80.0,1.0,300.095625,215.02200000000002,183.227,262.123,True,176.0
1703060749224.814,80.0,1.0,299.38725,208.809,182.71,256.741,True,176.0
1703060749230.488,80.0,1.0,308.755125,207.06674999999998,191.861,254.858,True,176.0
1703060749236.8188,80.0,1.0,314.15362500000003,206.33174999999997,197.051,254.02,True,176.0
1703060749240.0671,80.0,1.0,307.203,219.975,190.007,266.084,True,176.0
1703060749246.117,80.0,1.0,308.80199999999996,221.733375,191.502,267.525,True,176.0
1703060749249.189,80.0,1.0,306.795,225.51225,189.458,270.904,True,176.0
1703060749256.036,80.0,1.0,299.91525,230.15999999999997,182.617,275.342,True,176.0
1703060749261.8052,80.0,1.0,298.749,223.13362500000002,181.673,269.268,True,176.0
1703060749265.3618,80.0,1.0,288.18225,212.65574999999998,171.484,260.594,True,176.0
1703060749271.4749,80.0,1.0,297.0195,211.18387500000003,180.314,258.912,True,176.0
1703060749274.167,80.0,1.0,300.106875,210.44175,183.369,258.133,True,176.0
1703060749280.5042,80.0,1.0,310.03499999999997,225.26324999999997,192.593,270.512,True,176.0
1703060749286.7139,80.0,1.0,307.60237500000005,217.64512499999998,190.457,264.048,True,176.0
1703060749289.8079,80.0,1.0,302.08950000000004,220.98825,185.008,267.222,True,176.0
1703060749296.4622,80.0,1.0,307.069875,233.601375,189.499,277.907,True,176.0
1703060749299.2258,80.0,1.0,304.761375,228.438375,187.403,273.558,True,176.0
1703060749305.559,80.0,1.0,306.342,225.61237500000001,189.016,271.016,True,176.0
1703060749312.49,80.0,1.0,308.163375,226.325625,190.759,271.534,True,176.0
1703060749315.819,80.0,1.0,306.86062499999997,222.11812500000002,189.616,267.958,True,176.0
1703060749322.17,80.0,1.0,301.8705,224.78287500000002,184.687,270.539,True,176.0
1703060749324.174,80.0,1.0,311.04975,222.934875,193.632,268.447,True,176.0
1703060749330.545,80.0,1.0,305.73524999999995,231.15712499999998,188.273,275.865,True,176.0
1703060749336.733,80.0,1.0,304.817625,229.133625,187.438,274.16,True,176.0
1703060749339.8438,80.0,1.0,291.741,220.98749999999998,174.795,267.757,True,176.0
1703060749349.196,80.0,1.0,295.85475,220.83,178.885,267.405,True,176.0
1703060749355.459,80.0,1.0,294.1785,218.025,177.306,265.031,True,176.0
1703060749361.7,80.0,1.0,295.16475,224.057625,178.108,270.27,True,176.0
1703060749364.794,80.0,1.0,293.45662500000003,219.58350000000002,176.544,266.435,True,176.0
1703060749371.4429,80.0,1.0,295.41337500000003,217.92300000000003,178.533,264.881,True,176.0
1703060749375.435,80.0,1.0,294.7875,211.38825,178.104,259.188,True,176.0
1703060749380.4868,80.0,1.0,302.95349999999996,218.4315,185.924,264.955,True,176.0
1703060749386.721,80.0,1.0,302.311875,221.679,185.206,267.812,True,176.0
1703060749390.841,80.0,1.0,297.6975,219.78862499999997,180.734,266.399,True,176.0
1703060749396.193,80.0,1.0,303.393,217.161,186.388,263.829,True,176.0
1703060749399.189,80.0,1.0,298.488375,221.57174999999998,181.461,267.917,True,176.0
1703060749405.479,80.0,1.0,291.90225,221.69774999999998,174.935,268.373,True,176.0
1703060749411.722,80.0,1.0,299.553,225.90675,182.383,271.647,True,176.0
1703060749414.8518,80.0,1.0,294.366375,231.39600000000004,177.101,276.759,True,176.0
1703060749421.108,80.0,1.0,296.75737499999997,224.24174999999997,179.678,270.345,True,176.0
1703060749424.606,80.0,1.0,291.141375,225.38774999999998,174.066,271.662,True,176.0
1703060749430.4258,80.0,1.0,284.810625,229.66725,167.573,275.815,True,176.0
1703060749437.035,80.0,1.0,293.572125,222.62550000000002,176.57,269.099,True,176.0
1703060749439.9128,80.0,1.0,291.125625,222.62325,174.133,269.229,True,176.0
1703060749446.318,80.0,1.0,288.6705,235.111125,171.301,280.394,True,176.0
1703060749449.251,80.0,1.0,288.66862499999996,218.550375,171.795,265.768,True,176.0
1703060749456.42,80.0,1.0,295.20375,203.03325,178.759,251.864,True,176.0
1703060749461.918,80.0,1.0,297.384,203.885625,180.884,252.529,True,176.0
1703060749464.836,80.0,1.0,294.1785,199.784625,177.839,249.061,True,176.0
1703060749471.1418,80.0,1.0,292.13025,199.12949999999998,175.827,248.556,True,176.0
1703060749474.563,80.0,1.0,303.68475,201.11812500000002,187.123,249.901,True,176.0
1703060749480.432,80.0,1.0,305.01712499999996,210.616125,188.151,258.078,True,176.0
1703060749486.743,80.0,1.0,301.659,202.76850000000002,185.105,251.402,True,176.0
1703060749489.833,80.0,1.0,303.19425000000007,207.551625,186.465,255.495,True,176.0
1703060749496.1428,80.0,1.0,306.228375,215.19375,189.197,261.99,True,176.0
1703060749499.159,80.0,1.0,311.95050000000003,211.53337500000004,194.806,258.578,True,176.0
1703060749505.596,80.0,1.0,305.31225,214.929,188.316,261.802,True,176.0
1703060749511.726,80.0,1.0,310.88887500000004,209.81812499999998,193.836,257.145,True,176.0
1703060749514.837,80.0,1.0,309.14362500000004,210.21862499999997,192.148,257.562,True,176.0
1703060749522.924,80.0,1.0,299.169375,214.40474999999998,182.336,261.628,True,176.0
1703060749526.0789,80.0,1.0,292.419375,201.7515,176.037,250.843,True,176.0
1703060749530.423,80.0,1.0,289.64325,200.89987499999998,173.297,250.193,True,176.0
1703060749539.8757,80.0,1.0,306.91049999999996,204.54937500000003,190.152,252.754,True,176.0
